Market / Region,Grid operator type,Primary hyperscaler footprint,A. Load-vs-Capacity,B. Queue deliverability gap,C. Generation adequacy,D. Interconnection friction,E. Regulatory / curtailment risk,Constraint Index (1-5),Buyer leverage,Key hard data point (sourced),Sourcing takeaway
PJM — Dominion / N. Virginia,ISO/RTO,"AWS, Microsoft, Google, Meta (world's #1 DC cluster)",5,5,4,4,5,4.65,High – push timeline penalties & price,"70 GW in queue; only ~25 GW have firm connection dates through 2031. Summer peak 23.9 GW (2025), +45% winter vs 2019.","Most constrained U.S. market. Treat any Northern Virginia delivery date as at-risk; demand milestone penalties, or negotiate a backup region."
ERCOT — Texas,ISO/RTO,"Oracle/OpenAI (Stargate-Abilene), Meta, others",4,5,3,3,4,3.9,Moderate – probe delivery risk,"Large-load queue ~238.6 GW (Mar 2026), 77.5% data centers; only ~9 GW Approval-to-Energize; request-to-operating funnel ~1.6%.","Fastest generation interconnection in the U.S., but SB6 curtailment rules + a wildly speculative load queue mean firm, non-curtailable capacity is scarce. Price the curtailment risk."
APS — Arizona (Phoenix),Non-ISO (WECC),"Microsoft, Google, Meta, QTS (Mesa/Goodyear)",5,4,4,4,3,4.1,High – push timeline penalties & price,2026 peak ~9.06 GW = ~90% of planned summer capacity; data centers ~630 MW (~7% of peak). Peak load projected +40% by 2031.,Running near planned capacity with data-center rate cases open. No public queue — pull APS IRP & large-load tariff. Delivery timing hinges on new generation & rate approvals; strong buyer leverage on schedule.
SRP — Arizona (Phoenix),Non-ISO (public power),"Meta, Google, EdgeCore (Mesa/Queen Creek)",5,3,4,4,3,3.85,Moderate – probe delivery risk,"2026 peak ~9.07 GW, near planned capacity; data-center peak ~441 MW (5.1% of load, 2025).","Same near-capacity summer picture as APS but lighter current DC saturation. Non-ISO, so use SRP's published data-center facts + resource plan; leverage on delivery timing is real."
PJM — rest of footprint,ISO/RTO,"Meta, Google, AWS (Ohio/AEP, Indiana)",3,3,4,4,3,3.35,Moderate – probe delivery risk,PJM-wide summer peak growth 5.4%/yr over 10 yrs; capacity auction prices have spiked on tightening reserves.,Less acute than Dominion but the whole RTO is tightening and interconnection is slow. Moderate leverage; watch capacity-price pass-throughs in any colo/power clause.
MISO — Midwest,ISO/RTO,"Meta (Iowa), Google, Microsoft",3,3,4,4,3,3.35,Moderate – probe delivery risk,"Queue was frozen in 2023 during reform, reopened 2024 with a wave of applications; large backlog.",Reform-era friction and a re-inflating queue. Moderate leverage; confirm the specific study cycle a provider's site sits in.
CAISO — California,ISO/RTO,"Google, Microsoft, AWS (limited new build)",3,3,3,4,3,3.15,Some – secondary lever,Very large generation queue (West/CAISO 500+ GW) but slow studies and high siting friction.,"Ample generation interest but chronic interconnection delay. Leverage is on timeline, not scarcity of supply."
SPP — Central,ISO/RTO,Limited hyperscale (growing),3,2,3,3,2,2.6,Some – secondary lever,Signed record interconnection-agreement capacity in 2025; relatively more headroom.,"One of the more deliverable markets — weaker buyer leverage on scarcity, but wind-heavy supply. Consider as an alternate region."
Non-ISO West (ex-AZ),Non-ISO (WECC),"Microsoft, Google, Meta (NV, UT, NM)",2,2,2,4,2,2.3,Low – limited timeline leverage,"Largest active generation queue of any region (~567 GW, LBNL end-2024) but DC load pressure concentrated in hubs.","Bilateral, opaque, but generally more headroom outside the hotspots. Weaker scarcity leverage; friction leverage from slow bilateral processes."
Georgia — Southern Co (Atlanta),Non-ISO (SERC),"Microsoft, Google, QTS, Meta",,,,,,,fill yellow cells,» Add local queue / IRP data,» Template row — enter the five 1–5 sub-scores in the yellow cells
Ohio — AEP (Columbus),ISO/RTO (PJM),"Google, Meta, AWS, Cologix",,,,,,,fill yellow cells,» Add local queue / IRP data,» Template row — enter the five 1–5 sub-scores in the yellow cells
Iowa — MidAmerican/MISO,ISO/RTO (MISO),"Meta, Google, Microsoft",,,,,,,fill yellow cells,» Add local queue / IRP data,» Template row — enter the five 1–5 sub-scores in the yellow cells
